respondent_id,pre_college_sport_1,pre_college_sport_1_level,pre_college_sport_1_skill,pre_college_sport_2,pre_college_sport_2_level,pre_college_sport_2_skill,pre_college_sport_3,pre_college_sport_3_level,pre_college_sport_3_skill,im_badminton_experience,im_badminton_skill,im_basketball_experience,im_basketball_skill,im_billiards_experience,im_billiards_skill,im_broomball_experience,im_broomball_skill,im_climbing_experience,im_climbing_skill,im_dodgeball_experience,im_dodgeball_skill,im_flag_football_experience,im_flag_football_skill,im_foosball_experience,im_foosball_skill,im_inner_tube_water_polo_experience,im_inner_tube_water_polo_skill,im_pickleball_experience,im_pickleball_skill,im_ping_pong_experience,im_ping_pong_skill,im_river_run_experience,im_river_run_skill,im_soccer_experience,im_soccer_skill,im_softball_experience,im_softball_skill,im_spikeball_experience,im_spikeball_skill,im_squash_experience,im_squash_skill,im_tennis_experience,im_tennis_skill,im_ultimate_frisbee_experience,im_ultimate_frisbee_skill,im_volleyball_experience,im_volleyball_skill,is_varsity,varsity_sport
27,Swimming,HS Varsity,8,Cross Country,HS Varsity,9,Tennis,Casual,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,4,1 season,7,2+ seasons,7,Never played,,Never played,,1 season,5,1 season,4,no,
28,Tennis,HS Varsity,9,Basketball,Casual,5,,,,Never played,,Never played,,1 season,5,1 season,6,Never played,,Never played,,1 season,4,1 season,6,Never played,,1 season,5,2+ seasons,7,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,8,Never played,,Never played,,no,
29,Ice Hockey,HS Varsity,9,Football (American),Casual,7,,,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,yes,Ice Hockey
30,Swimming,HS JV,6,,,,,,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,no,
31,Track & Field,Casual,2,Soccer,Casual,3,,,,Never played,,Never played,,Never played,,Never played,,2+ seasons,4,1 season,5,Never played,,1 season,3,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,2+ seasons,9,2+ seasons,5,2+ seasons,7,1 season,4,Never played,,Never played,,no,
32,Baseball,HS JV,7,Soccer,Casual,1,,,,Never played,,1 season,2,Never played,,Never played,,1 season,4,1 season,5,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,no,
33,Swimming,HS Varsity,8,,,,,,,Never played,,Never played,,2+ seasons,7,1 season,7,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,yes,Swimming & Diving
34,Basketball,HS Varsity,8,,,,,,,1 season,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,no,
35,,,,,,,,,,1 season,5,1 season,4,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,no,
36,Water Polo,HS Varsity,7,Lacrosse,Casual,2,Tennis,Casual,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,yes,Water Polo
37,Track & Field,HS JV,3,Basketball,HS Varsity,8,,,,1 season,6,Never played,,1 season,3,1 season,4,2+ seasons,8,Never played,,Never played,,1 season,3,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,no,
38,Tennis,Casual,2,,,,,,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
39,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,1 season,8,Never played,,Never played,,1 season,7,1 season,4,Never played,,Never played,,no,
40,Track & Field,HS Varsity,7,,,,,,,1 season,3,1 season,3,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,1 season,6,Never played,,Never played,,yes,Track & Field
41,Baseball,Casual,3,Football (American),Casual,4,,,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,1 season,7,Never played,,no,
42,Football (American),HS Varsity,6,Tennis,HS Varsity,7,,,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
43,Soccer,Casual,3,Football (American),HS Varsity,7,,,,1 season,6,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,Never played,,1 season,5,1 season,7,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
44,Swimming,Casual,2,Basketball,Casual,4,Crew,HS Varsity,7,1 season,7,1 season,6,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,no,
45,Wrestling,HS Varsity,7,,,,,,,Never played,,Never played,,2+ seasons,7,1 season,6,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,6,1 season,4,Never played,,1 season,6,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,no,
46,Pickleball,Casual,7,,,,,,,1 season,6,Never played,,1 season,6,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
47,,,,,,,,,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,2+ seasons,7,Never played,,no,
48,Baseball,HS Varsity,8,,,,,,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,1 season,8,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,6,1 season,5,yes,Baseball
49,Crew,HS Varsity,9,Soccer,Casual,3,,,,1 season,5,Never played,,2+ seasons,4,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Men's Rowing
50,Tennis,HS Varsity,9,,,,,,,2+ seasons,7,1 season,7,Never played,,1 season,6,Never played,,2+ seasons,8,1 season,7,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,4,Never played,,Never played,,Never played,,yes,Tennis
51,Cross Country,HS Varsity,7,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,1 season,9,Never played,,1 season,5,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,3,yes,Cross Country
52,Swimming,Casual,4,Crew,Casual,5,,,,Never played,,Never played,,1 season,3,Never played,,Never played,,2+ seasons,6,Never played,,Never played,,1 season,6,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,2+ seasons,5,Never played,,1 season,6,no,
53,Track & Field,HS Varsity,8,,,,,,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,yes,Track & Field
54,Baseball,HS Varsity,7,Tennis,HS JV,3,,,,Never played,,2+ seasons,7,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,no,
55,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,5,Never played,,2+ seasons,7,Never played,,Never played,,1 season,7,no,
56,Swimming,HS Varsity,5,,,,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,2+ seasons,10,Never played,,1 season,3,1 season,8,Never played,,Never played,,Never played,,no,
57,Track & Field,HS Varsity,6,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,5,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,yes,Track & Field
58,Football (American),HS JV,4,Baseball,HS JV,6,,,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,5,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
59,Fencing,HS Varsity,6,,,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,yes,Fencing
60,Cheerleading/Dance,HS Varsity,7,Track & Field,Casual,4,Swimming,Casual,3,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,2,1 season,7,no,
61,Water Polo,Casual,2,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,7,Never played,,1 season,8,2+ seasons,6,1 season,6,2+ seasons,10,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,2+ seasons,5,1 season,5,1 season,4,no,
62,Track & Field,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,4,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,2+ seasons,6,Never played,,Never played,,yes,Track & Field
63,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
64,Football (American),HS Varsity,10,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
65,Lacrosse,HS Varsity,9,Baseball,Casual,5,Swimming,Casual,2,Never played,,Never played,,2+ seasons,8,1 season,5,Never played,,Never played,,1 season,6,Never played,,Never played,,2+ seasons,3,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Lacrosse
66,Basketball,Casual,3,Soccer,Casual,3,,,,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,5,1 season,5,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
67,,,,,,,,,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,2+ seasons,5,no,
68,Football (American),Casual,3,Track & Field,HS Varsity,8,,,,Never played,,1 season,5,1 season,7,1 season,2,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,1 season,5,Never played,,no,
69,Cheerleading/Dance,Casual,2,,,,,,,1 season,6,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,1 season,6,Never played,,Never played,,no,
70,,,,,,,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,5,2+ seasons,6,Never played,,1 season,4,Never played,,Never played,,Never played,,1 season,3,Never played,,no,
71,Sailing,HS Varsity,7,Baseball,HS Varsity,6,Basketball,HS Varsity,10,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,10,Never played,,1 season,6,1 season,6,Never played,,Never played,,yes,Sailing
72,Track & Field,Casual,4,Tennis,Casual,1,Basketball,HS Varsity,6,1 season,4,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,1 season,4,1 season,5,Never played,,1 season,5,no,
73,Soccer,HS Varsity,6,Cross Country,HS Varsity,10,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,Never played,,1 season,7,Never played,,2+ seasons,7,2+ seasons,5,Never played,,Never played,,1 season,4,2+ seasons,9,Never played,,1 season,6,2+ seasons,7,Never played,,no,
74,Tennis,HS Varsity,8,Baseball,HS Varsity,7,Football (American),Casual,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
75,Soccer,HS Varsity,10,,,,,,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,no,
76,Crew,Casual,3,Softball,HS Varsity,10,,,,Never played,,Never played,,1 season,6,2+ seasons,8,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,5,Never played,,no,
77,Crew,HS Varsity,9,Tennis,Casual,3,,,,Never played,,Never played,,1 season,4,Never played,,2+ seasons,5,Never played,,1 season,5,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,no,
78,Tennis,Casual,3,Basketball,Casual,2,Baseball,Casual,4,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,no,
79,Baseball,Casual,5,Basketball,Casual,4,,,,Never played,,2+ seasons,7,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,1 season,6,1 season,6,Never played,,Never played,,Never played,,Never played,,no,
80,Cross Country,HS JV,3,Track & Field,HS Varsity,7,,,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,6,Never played,,no,
81,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,no,
82,Soccer,Casual,5,Crew,HS Varsity,6,,,,Never played,,Never played,,Never played,,2+ seasons,9,Never played,,1 season,5,2+ seasons,6,Never played,,Never played,,1 season,1,1 season,7,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
83,Crew,HS Varsity,7,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,2+ seasons,7,1 season,9,1 season,3,Never played,,1 season,5,1 season,8,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,yes,Men's Rowing
84,,,,,,,,,,Never played,,Never played,,1 season,4,Never played,,2+ seasons,7,1 season,5,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,no,
85,Baseball,Casual,6,,,,,,,Never played,,1 season,5,1 season,5,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,1 season,7,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,no,
86,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,7,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,1 season,5,2+ seasons,6,Never played,,Never played,,no,
87,Crew,HS Varsity,8,,,,,,,Never played,,Never played,,Never played,,1 season,3,Never played,,Never played,,1 season,4,2+ seasons,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,yes,Women's Rowing
88,Track & Field,Casual,1,Field Hockey,HS Varsity,7,,,,Never played,,Never played,,Never played,,2+ seasons,7,2+ seasons,8,1 season,5,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,no,
89,Soccer,Casual,3,Tennis,Casual,3,,,,Never played,,1 season,4,Never played,,1 season,5,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
90,Football (American),HS Varsity,8,Basketball,Casual,4,,,,1 season,4,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
91,Tennis,Casual,4,,,,,,,Never played,,1 season,6,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,6,2+ seasons,9,2+ seasons,9,Never played,,1 season,6,Never played,,Never played,,no,
92,Track & Field,HS Varsity,7,Swimming,HS JV,7,,,,Never played,,1 season,6,1 season,8,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,8,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,yes,Track & Field
93,Swimming,HS Varsity,7,Track & Field,HS Varsity,9,Soccer,HS Varsity,8,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,2+ seasons,7,Never played,,no,
94,Soccer,Casual,3,,,,,,,Never played,,Never played,,1 season,3,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,2+ seasons,8,Never played,,Never played,,Never played,,Never played,,1 season,6,Never played,,Never played,,1 season,6,no,
95,Cross Country,HS JV,5,,,,,,,Never played,,Never played,,1 season,6,1 season,5,Never played,,Never played,,1 season,6,Never played,,Never played,,Never played,,Never played,,1 season,4,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,no,
96,,,,,,,,,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,Never played,,1 season,3,1 season,5,1 season,8,Never played,,Never played,,Never played,,1 season,5,Never played,,Never played,,Never played,,no,
97,Ice Hockey,HS Varsity,10,,,,,,,Never played,,1 season,7,2+ seasons,8,Never played,,Never played,,1 season,5,1 season,10,Never played,,1 season,7,1 season,3,1 season,8,Never played,,Never played,,1 season,4,Never played,,Never played,,1 season,2,Never played,,Never played,,no,
